@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27}

@data
921,'2016/10/06 17:30:16:296',31,229.191895,208.624451,61.337879,312.627228,215.415009,67.335808,327.156555,223.729614,69.514114,361.329926,232.553589,70.798126,399.705658,235.117065,71.306885,1
922,'2016/10/06 17:30:16:347',31,229.193253,208.173157,61.374733,312.45575,215.13269,67.382515,326.903259,223.473785,69.560524,361.135193,232.42749,70.81842,399.486542,235.048676,71.339859,1
923,'2016/10/06 17:30:16:397',31,229.121216,208.06427,61.404568,312.415405,215.087616,67.399246,326.862793,223.430206,69.574715,361.424438,232.844727,70.699219,399.485535,235.264374,71.296097,1
924,'2016/10/06 17:30:16:448',31,229.344666,207.809418,61.435314,312.597839,214.913666,67.398544,327.015289,223.283997,69.569901,361.83725,233.081573,70.585655,399.629089,235.401672,71.241585,1
925,'2016/10/06 17:30:16:498',31,229.346298,207.736725,61.371014,312.596802,214.792023,67.338898,326.991516,223.126923,69.518921,361.792786,232.905548,70.546593,399.589081,235.244904,71.200089,1
926,'2016/10/06 17:30:16:547',31,229.319733,207.742065,61.347679,312.539124,214.796753,67.319778,326.907227,223.097198,69.507774,361.462952,232.670441,70.611511,399.464478,235.203674,71.205284,1
927,'2016/10/06 17:30:16:596',31,229.286255,207.610168,61.390274,312.473846,214.689423,67.363937,326.811157,222.941528,69.562469,361.166077,232.552887,70.691261,399.315125,235.126312,71.26339,1
928,'2016/10/06 17:30:16:651',31,229.02507,207.558655,61.467247,312.405457,214.524841,67.39724,326.824585,222.697571,69.602539,361.167328,232.346283,70.718521,399.367188,234.868164,71.272087,1
929,'2016/10/06 17:30:16:697',31,228.931076,207.493713,61.503235,312.345551,214.527924,67.418228,326.771606,222.679657,69.625229,361.201294,232.405426,70.710854,399.378937,234.957977,71.25856,1
930,'2016/10/06 17:30:16:747',31,228.859833,207.453003,61.540024,312.408691,214.513428,67.433632,326.852936,222.647247,69.641357,361.32431,232.36322,70.716576,399.524902,234.934204,71.250961,1
931,'2016/10/06 17:30:19:301',32,360.568787,280.927979,54.049561,452.891052,301.68222,57.895306,467.61908,310.146759,59.371944,499.147522,317.422485,60.080772,532.709595,316.611176,60.368191,1
932,'2016/10/06 17:30:19:354',32,361.324219,281.258148,53.993954,453.051819,301.608185,57.81395,467.920258,310.057739,59.300823,498.903381,317.075348,60.19244,533.106506,316.534668,60.410496,1
933,'2016/10/06 17:30:19:401',32,362.35141,281.715881,53.957199,453.354156,301.725281,57.751675,468.122375,310.021179,59.301865,498.637115,316.827393,60.380127,533.562805,316.739868,60.492233,1
934,'2016/10/06 17:30:19:452',32,362.590332,281.937866,53.959801,453.308838,301.631104,57.759003,468.277924,309.979614,59.290073,498.433746,316.598877,60.491955,533.700745,316.648376,60.564899,1
935,'2016/10/06 17:30:19:502',32,362.900696,282.141113,53.934406,453.452423,301.680359,57.70496,468.752289,310.00528,59.196812,498.308533,316.440247,60.551315,533.802429,316.532013,60.618568,1
936,'2016/10/06 17:30:19:551',32,363.021362,282.126282,53.944931,453.185333,301.480774,57.671154,468.404694,309.684204,59.204395,498.134644,316.362488,60.497829,533.64032,316.400421,60.579659,1
937,'2016/10/06 17:30:19:601',32,362.643036,281.904297,53.992538,452.736938,300.934082,57.747192,468.192596,309.268707,59.235939,498.168732,315.958191,60.483604,533.519226,315.808014,60.608635,1
938,'2016/10/06 17:30:19:651',32,362.188568,281.265747,54.15202,452.396027,300.332825,57.876194,467.916412,308.650085,59.359596,498.540863,315.528381,60.440956,533.407837,315.132629,60.662369,1
939,'2016/10/06 17:30:19:698',32,361.927765,280.488953,54.240971,452.184448,300.005554,57.960804,467.73233,308.35022,59.429661,498.925232,315.465332,60.342819,533.356812,314.910248,60.620937,1
940,'2016/10/06 17:30:19:750',32,361.899109,280.184082,54.25885,452.121582,300.002319,57.989052,467.683685,308.395752,59.440811,499.071747,315.628723,60.28524,533.249695,315.014496,60.56974,1
941,'2016/10/06 17:30:19:799',32,361.872742,280.234924,54.245861,452.154327,300.053528,57.960781,467.84137,308.520691,59.375778,499.145874,315.701385,60.234001,533.25061,315.023621,60.510361,1
942,'2016/10/06 17:30:19:849',32,362.057617,280.654388,54.243683,452.218506,300.191162,57.918797,467.892883,308.646362,59.338276,499.214996,315.801697,60.201973,533.311462,315.109192,60.468433,1
943,'2016/10/06 17:30:19:900',32,362.463318,281.380066,54.177143,452.038116,300.40625,57.847622,467.732605,308.970886,59.24649,499.169769,316.157593,60.099468,533.245972,315.417999,60.389622,1
944,'2016/10/06 17:30:19:948',32,363.006653,282.078491,54.034531,451.77832,300.583374,57.765999,467.318146,309.144073,59.196548,498.97168,316.425629,60.038208,533.19458,315.742554,60.310287,1
945,'2016/10/06 17:30:20:003',32,363.325226,282.229431,53.975754,451.419891,300.3302,57.769451,466.765686,308.822083,59.25565,498.601501,316.225098,60.088551,533.056519,315.673096,60.330845,1
946,'2016/10/06 17:30:20:051',32,363.588837,282.282745,53.91555,451.109436,300.075623,57.786961,465.946838,308.328552,59.402599,498.08551,315.823181,60.233986,533.109802,315.70813,60.338814,1
947,'2016/10/06 17:30:20:102',32,364.294769,282.648682,53.957615,451.436676,300.282104,57.821098,465.607788,308.077057,59.62059,498.094574,315.562073,60.470791,533.929443,316.130615,60.342445,1
948,'2016/10/06 17:30:20:151',32,366.253235,283.288818,54.060467,453.367432,300.702606,57.906773,467.881104,308.563141,59.668888,499.861908,315.640381,60.719635,536.51178,316.9505,60.282017,1
949,'2016/10/06 17:30:20:199',32,366.878906,283.884918,54.11121,454.483673,300.937744,57.994942,469.118225,308.711243,59.783501,501.207886,316.013824,60.778793,537.907349,317.533142,60.238953,1
950,'2016/10/06 17:30:20:250',32,367.562378,283.943939,54.081768,454.796631,300.150879,58.199589,469.464478,307.920593,60.060593,501.864746,315.396973,61.058308,538.929565,317.606537,60.365707,1
951,'2016/10/06 17:30:20:302',32,367.33197,283.220093,54.192116,454.632019,299.277283,58.376923,468.879547,306.547333,60.420147,501.586914,314.406799,61.349609,538.916748,316.937164,60.619965,1
952,'2016/10/06 17:30:20:351',32,366.836609,281.698181,54.43446,454.625732,298.08786,58.605495,468.969788,305.343323,60.644051,501.480774,313.284729,61.585171,538.733765,316.028076,60.852226,1
